Initial Conditions,,,Total Administered Dosage During Therapy,,,,,,,,,,
,,,SSMC-PPO,,,SMC,,,SSMC,,,PPO,
T,N,,alpha,q,,alpha,q,,alpha,q,,alpha,q
0.9,0.485,,13.81933,13.46785,,14.5697,46.3555,,20.7015,19.2533,,33.59543,33.59543
0.9,0.486,,13.78759,13.47673,,14.5698,46.356,,20.698,19.2478,,33.59544,33.59544
0.9,0.487,,13.78968,13.47265,,14.56985,46.3565,,20.6944,19.2423,,33.59544,33.59544
0.9,0.488,,13.77721,13.46375,,14.5699,46.357,,20.6908,19.2368,,33.59544,33.59544
0.9,0.489,,13.76983,13.46443,,14.5699,46.35751,,20.6872,19.2314,,33.59544,33.59544
0.9,0.49,,13.77753,13.47469,,14.56997,46.358,,20.6836,19.2259,,33.59544,33.59544
0.9,0.491,,13.75152,13.47101,,14.49,46.1285,,20.68,19.2205,,33.59544,33.59544
0.9,0.492,,13.79201,13.47909,,14.4903,46.129,,20.6765,19.2152,,33.59544,33.59544
0.9,0.493,,13.81595,13.4631,,14.8455,45.6095,,20.6729,19.2098,,33.59545,33.59545
0.9,0.494,,13.81585,13.47272,,14.8455,45.61,,20.6693,19.2045,,33.59545,33.59545
0.9,0.495,,13.7799,13.49584,,14.70546,44.3405,,20.6657,19.1993,,33.59545,33.59545
0.9,0.496,,13.78609,13.48417,,14.7055,44.341,,20.6622,19.194,,33.59545,33.59545
0.9,0.497,,13.79838,13.45866,,14.70554,44.3415,,20.6586,19.1888,,33.59545,33.59545
0.9,0.498,,13.80837,13.46267,,14.70558,44.342,,20.655,19.1836,,33.59545,33.59545
0.9,0.499,,13.80288,13.48054,,14.70562,44.3425,,20.6515,19.1784,,33.59546,33.59546
0.9,0.5,,13.78622,13.4847,,14.76,45.608,,20.6479,19.1733,,33.59546,33.59546
0.9,0.501,,13.78158,13.49341,,14.7632,45.6085,,20.6443,19.1681,,33.59546,33.59546
0.9,0.502,,13.78264,13.46412,,14.76322,45.609,,20.6408,19.1631,,33.59546,33.59546
0.9,0.503,,13.7921,13.4866,,14.9405,44.6745,,20.6372,19.158,,33.59546,33.59546
0.9,0.504,,13.77763,13.49892,,14.97824,46.025,,20.6336,19.153,,33.59546,33.59546
0.9,0.505,,13.7736,13.46288,,14.9783,46.0255,,20.6301,19.148,,33.59546,33.59546
0.9,0.506,,13.79686,13.48191,,150544,46.346,,20.6265,19.143,,33.59547,33.59547
0.9,0.507,,13.80551,13.48036,,15.0544,46.3465,,20.623,19.1381,,33.59547,33.59547
0.9,0.508,,13.77119,13.48222,,15.0545,46.347,,20.6194,19.1332,,33.59547,33.59547
0.9,0.509,,13.75222,13.47045,,15.0545,46.3475,,20.6159,19.1283,,33.59547,33.59547
0.9,0.51,,13.78882,13.48503,,15.0545,46.348,,20.6123,19.1235,,33.59547,33.59547
0.9,0.511,,13.7573,13.50193,,14.977,45.9386,,20.6087,19.1187,,33.59547,33.59547
0.9,0.512,,13.76219,13.49207,,14.977,45.939,,20.6052,19.1139,,33.59547,33.59547
0.9,0.513,,13.75299,13.47888,,14.9772,45.9396,,20.6016,19.1092,,33.59548,33.59548
0.9,0.514,,13.77836,13.49352,,14.8859,47.33,,20.5981,19.1045,,33.59548,33.59548
0.9,0.515,,13.76203,13.46043,,14.8859,47.3306,,20.5945,19.0998,,33.59548,33.59548
0.9,0.516,,13.79174,13.46134,,14.886,47.3311,,20.591,19.0952,,33.59548,33.59548
